username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FoxNews;2017-09-10 10:40;37;131;"Florida Keys and hurricanes: a long history http://www.foxnews.com/us/2017/09/10/florida-keys-and-hurricanes-long-history.html …";;;;"906829693629992960";https://twitter.com/FoxNews/status/906829693629992960
Ginger_Zee;2017-09-10 10:37;34;70;"Extreme wind warning for the Florida Keys! 115 mph winds, tornado-like damage possible now! Issued by @NWSKeyWestpic.twitter.com/R17e9YILdf";;@NWSKeyWestpic;;"906829048168542208";https://twitter.com/Ginger_Zee/status/906829048168542208
TropicalTidbits;2017-09-10 10:26;75;90;"Hurricane #Irma's eyewall is bearing down on the Florida Keys. Be safe @NWSKeyWest and any who remain there. Extremely dangerous wind comingpic.twitter.com/7dvdEOv4Pz";;@NWSKeyWest;#Irma;"906826276874440704";https://twitter.com/TropicalTidbits/status/906826276874440704
CBSNews;2017-09-10 10:20;47;107;"“We do have about 29 to 31 residents that are staying at our local high school,” Sergeant Ward says of people sheltering in the Florida Keys pic.twitter.com/xwCpz8NoHe";;;;"906824569926897664";https://twitter.com/CBSNews/status/906824569926897664
AP;2017-09-10 10:15;124;89;"The Latest: The eye of Hurricane Irma is about 30 miles from lower Florida Keys, and closing in. http://apne.ws/FQ12CDE";;;;"906823495866310656";https://twitter.com/AP/status/906823495866310656
NWSGray;2017-09-10 10:15;173;151;"On this day, 57 years apart, Hurricanes Donna and #Irma impact the Florida Keys. NWS radar data has come a long way in those 57 years. pic.twitter.com/rq2oyjfKuL";;;#Irma;"906823350323990528";https://twitter.com/NWSGray/status/906823350323990528
CNN;2017-09-10 10:12;243;319;"“Here it comes… Irma is here”: @BillWeirCNN reporting live from Key Largo, Florida as Hurricane Irma closes in http://cnn.it/2xnP34w pic.twitter.com/phq0hP7u5e";;@BillWeirCNN;;"906822657076854785";https://twitter.com/CNN/status/906822657076854785
ABC;2017-09-10 10:07;137;125;"Hurricane #Irma has already made wind gusts in the Florida Keys of 82 mph and is nearing Florida as a Cat 4 storm. http://abcn.ws/2eW1g8T pic.twitter.com/P9fvJgMRkO";;;#Irma;"906821521619902464";https://twitter.com/ABC/status/906821521619902464
NBCNews;2017-09-10 10:06;185;128;"UPDATE: Eye of Irma is abut 30 miles away from the Florida Keys with maximum sustained winds of 130 mph pic.twitter.com/9Aw4guuhh4";;;;"906821160536625152";https://twitter.com/NBCNews/status/906821160536625152
CBSNews;2017-09-10 10:04;77;63;"SPECIAL REPORT: Hurricane Irma is closing in on the Florida Keys & the state is bracing for a potential catastrophe http://cbsn.ws/2xe0VVO pic.twitter.com/nkvgDKUjSv";;;;"906820620771618816";https://twitter.com/CBSNews/status/906820620771618816
